PENGUSUL,ID REGISTRASI,JUDUL,Klaster ,FAKULTAS,PEMBIAYAAN
"Titi Farhanah, M.Ag., Ph.D. (KETUA); dkk",211110000047166,Siap: Sistem informasi Menejemen Arsip Penelitian dan Publikasi Uin Syarif Hidayatullah Jakarta,Penelitian Pengembangan Pendidikan Tinggi,FAH,Rp. 60.000.000
"Ummi Kultsum, M.Pd. (KETUA); dkk",211120000046965,Leadership Style: The Women Catalytic Role of Educational Leaders in Facing A New Normal in Global Pandemic,Penelitian Pengembangan Pendidikan Tinggi,FSH,Rp. 60.000.000
"Viva Arifin, MMSI. (KETUA); dkk",211110000047169,Implementasi Metode Design Science Research Menggunakan Heuristic Evaluation pada Pengembangan Prototipe Ui/ux Aplikasi E-learning Berbasis Gamifikasi,Penelitian Pengembangan Pendidikan Tinggi,FST,Rp. 60.000.000
"Dr. Zilhadia, M.Si.Apt. (KETUA); dkk",211110000047105,"Uji Aktifitas Farmakologi (antibakteri, Antioksidan, Antivirus dan Imunomodulator) Herbal Qusthul Hindi Sebagai Pendukung Terapi Covid-19",Penelitian Pengembangan Pendidikan Tinggi,FIKES,Rp. 60.000.000
"Dr. Rena Latifa, Psi (KETUA); dkk",211120000046955,Moderasi Beragama: Perspektif dan Sikap Masyarakat Atas Praktik Tokoh Agama di Media,Penelitian Terapan Kajian Strategis Nasional,FPSI,Rp. 75.000.000
"Prof. Asep Saepudin Jahar, M.A., Ph.D. (KETUA); dkk",211120000047103,Strategi dan Efektivitas Lembaga Filantropi Islam di Indonesia,Penelitian Terapan Kajian Strategis Nasional,FSH,Rp. 75.000.000
"Prof. Dr. Zulkifli, MA (KETUA); dkk",211120000047018,Konstruksi Moderasi Beragama di Kalangan Dosen Perguruan Tinggi Keagamaan Islam Negeri,Penelitian Terapan Kajian Strategis Nasional,FISIP,Rp. 75.000.000
"Dr. Fidrayani, M. Pd., M. Si (KETUA); dkk",211120000047107,Peran Kearifan Lokal Masyarakat Baduy dalam Menangani Pandemi Covid-19,Penelitian Terapan Kajian Strategis Nasional,FITK,Rp. 75.000.000
"Dr. Desmadi Saharuddin, M.A. (KETUA); dkk",211120000046953,"Peran Perbankan dan Dampak Utang Terhadap Stabilitas Negara, Studi Kasus Keruntuhan Turki Utsmani",Penelitian Terapan Kajian Strategis Nasional,FEB,Rp. 75.000.000
"Dr. Halid, M.Ag. (KETUA); dkk",211120000047146,Moderasi Beragama dan Antiradikalisme di Perguruan Tinggi Keagamaan Islam Negeri (ptkin) Kementerian Agama RI,Penelitian Terapan Kajian Strategis Nasional,FAH,Rp. 75.000.000
"Prof. Dr. Yunasril Ali, MA (KETUA); dkk",211120000047066,From Ritualism To Sharia-pietism: Salafi Dakwah in Contemporary Jakarta Indonesia,Penelitian Terapan Kajian Strategis Nasional,FAH,Rp. 75.000.000
"Jauhar Azizy, MA (KETUA); dkk",211120000047104,Konsistensi Aplikasi Metode Tafsir Maudu'i: Analisis pada Skripsi Mahasiswa Program Studi Ilmu Al-Qur'an dan Tafsir Tahun 2019-2021 (Studi pada PTKIN),Penelitian Terapan Kajian Strategis Nasional,FU,Rp. 75.000.000
"Prof. Dr. Ahmad Bachmid, Lc (KETUA); dkk",211120000046940,Problem Minoritas Muslim di Singapura Masa Kontemporer,Penelitian Terapan Kajian Strategis Nasional,FAH,Rp. 75.000.000
"Prof. Dr. Ahmad Rodoni, MM. (KETUA); dkk",211120000047000,Analisis Efisiensi Pasar Modal: Perbandingan Pasar Modal Syariah dan Pasar Modal Konvensional di Kawasan Asean,Penelitian Terapan Kajian Strategis Nasional,FEB,Rp. 75.000.000
